Column,control number,personal name,personal name 1,personal name 2,personal name 3,personal relationship
202,9935346840101488,"Meyerus, Philippus",Meyerus, Philippus,,ctb
436,9932512660101488,"Rufinianus, Julius",Rufinianus, Julius,,aut
1096,9911793110101488,"Vacquerius, Antonius",Vacquerius, Antonius,,eul
202,9935346840101488,"Moschus, Franciscus",Moschus, Franciscus,,eul
436,9932512660101488,Rufinus,Rufinus,,,aut
1096,9911793110101488,"du Mortier, Rumoldus",du Mortier, Rumoldus,,eul
202,9935346840101488,"Opstael, Guilielmus",Opstael, Guilielmus,,eul
436,9932512660101488,"Rutilius Lupus, Publius",Rutilius Lupus, Publius,,aut
202,9935346840101488,"Rosweydus, Heribertus",Rosweydus, Heribertus,,eul
436,9932512660101488,"Severianus, Julius",Severianus, Julius,,aut
202,9935346840101488,"Roze, Rob.",Roze, Rob.,,eul
436,9932512660101488,"Victor, Sulpitius",Victor, Sulpitius,,aut
202,9935346840101488,eul,eul,,,"van Haecht, Jacobus"
202,9935346840101488,"van Hoye, André",van Hoye, André,,eul
202,9935346840101488,"Viringus, Georgius W.",Viringus, Georgius W.,,eul
202,9935346840101488,"Viringus, Jacobus Walterius",Viringus, Jacobus Walterius,,eul
202,9935346840101488,"Viringus, Joannes Walterius",Viringus, Joannes Walterius,,aut
202,9935346840101488,"Viringus, Johannes Walters",Viringus, Johannes Walters,,eul
202,9935346840101488,"Wynantius, Petrus",Wynantius, Petrus,,eul
